Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/MedicationAdministration-Administrering-30.json	702	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-Rekvirering-1.json	603	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-lmdi-lokaltLegemiddel.json	676	3	10	0	0	0	0	0	0	6	208	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-no-basis-fest-legemiddeldose.json	770	2	1	0	1	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	9	11	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-no-basis-fest-legemiddelmerkevare.json	808	3	2	0	0	0	0	0	1	5	10	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-no-basis-fest-legemiddelpakning.json	725	2	2	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-no-basis-fest-legemiddelvirkestoff.json	697	2	2	0	0	0	0	0	1	2	9	0	0	0	0	0	0	0	0	0	11	10	0	0	0	1	0	0
fsh-generated/resources/Organization-Organisasjon-1-Sykehjem.json	758	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Organization-Organisasjon-2-Avdeling.json	418	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Organization-Organisasjon-3-Sykehus.json	1145	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Patient-Pasient-1-Uten-FNR.json	697	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Patient-Pasient-2-FNR.json	754	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-eksempel-pasient-1234567890.json	71	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Helsepersonell-1-HPR-nummer.json	298	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Helsepersonell-2-Uten-HPR.json	187	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-legemiddel-classification.json	1928	3	0	10	0	0	0	0	1	32	0	0	1	0	0	0	0	1	0	0	34	232	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-lmdi-bundle.json	4052	3	0	58	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	139	498	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-lmdi-condition.json	6932	5	0	97	0	0	0	0	0	72	0	0	0	0	0	0	0	2	0	0	271	711	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-lmdi-del-av-behandlingsregime.json	1469	3	0	32	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	41	98	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-lmdi-encounter.json	4385	4	0	92	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	220	324	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-lmdi-klinisk-studie.json	1285	2	0	26	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-lmdi-medication.json	13207	6	0	115	0	0	0	0	0	73	0	0	1	0	0	0	0	1	0	0	435	708	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-lmdi-medicationadministration.json	11685	5	0	89	0	0	0	0	0	82	0	0	0	0	0	0	0	1	0	0	279	302	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-lmdi-medicationrequest.json	8582	5	0	89	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	253	316	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-lmdi-organization.json	6370	4	0	142	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	279	446	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-lmdi-patient.json	6972	4	0	202	0	0	0	0	0	72	0	0	1	0	0	0	0	4	0	0	427	745	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-lmdi-practitioner.json	3046	4	0	107	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	212	305	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-lmdi-prosentvis-doseendring.json	1827	3	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	113	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-lmdi-substance.json	1094	2	0	44	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	99	222	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-lmdi-urban-district.json	1859	3	0	7	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	47	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-npr-episode-identifier.json	3533	3	0	9	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	64	116	0	0	0	3	1	1
fsh-generated/resources/ValueSet-LokalLegemiddelkatalogValues.json	466	3	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	7	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-atc-valueset.json	656	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	1280	0	0	0	0	0	0
fsh-generated/resources/ValueSet-kommunenummer-alle.json	413	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	640	0	0	0	1	0	0
fsh-generated/resources/ValueSet-legemiddel-koder.json	754	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-lmdi-address-use.json	581	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	38	0	0	0	0	0	0
fsh-generated/resources/ValueSet-lmdi-medicationadministrationstatus.json	864	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	34	0	0	0	0	0	0
